INFO:__main__:File(name='hw', extension='', dir=True, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task3', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task6', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task2', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task5', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task1', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task3', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task1', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task2', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task6', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task5', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task4', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='task4', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages'))
INFO:__main__:File(name='warnings_errors', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
INFO:__main__:File(name='task3', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
INFO:__main__:File(name='task2', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
INFO:__main__:File(name='task5', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
INFO:__main__:File(name='task1', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
INFO:__main__:File(name='debug_info', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
INFO:__main__:File(name='task5', extension='.log', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
INFO:__main__:File(name='task4', extension='.py', dir=False, parent=PosixPath('../../seminar15_standart_packages/hw'))
